SampleDate,pm10mpm115_Br,pm10mpm115_Cl,pm10mpm115_Cu,pm10mpm115_K,pm10mpm115_S,pm10mpm115_Si,pm10mpm115_Ti,pm10mpm115_Zn,pm115mpm009_Al,pm115mpm009_Br,pm115mpm009_Cl,pm115mpm009_Cu,pm115mpm009_K,pm115mpm009_Ni,pm115mpm009_Pb,pm115mpm009_S,pm115mpm009_Si,pm115mpm009_Ti,pm115mpm009_Zn
2011-01-22,0.39306267439966946,0.026492469490200635,0.022035317898461002,0.0019515738259376504,0.14508301054360367,0.0868854735061395,0.07213342636941125,0.06572825533946951,0.2852799622514741,0.23671054087679796,0.41951055023954825,0.03983412327678818,0.014433847482897201,0.1316659901547664,0.3857104669799583,0.04243927596142243,0.09340774371623063,0.1751136304755293,0.06988495057148059
2011-01-23,0.1845853513822012,0.026873042798538936,0.009962423784322659,0.0013066092065940269,0.08376357881394081,0.0745716874882859,0.0687745565965391,0.012746884144574401,0.19732536454973132,0.26394598544849956,0.2682997264953726,0.06000604475798382,0.008148130740371592,0.03955922828770282,0.38792211684439526,0.06547785421061,0.07077638829570652,0.14468999651281322,0.07746794628155859
2011-01-24,0.08721368428935235,0.0016277174035598542,0.01578931685443141,0.006624324075729882,0.14255158480892588,0.0908091306614213,0.18878043104875938,0.027153293125366542,0.2160757772521457,0.12085008332911042,0.13945237981161296,0.09015386341954527,0.03208252353427841,0.2935443180553804,0.5343927566936114,0.2585603469508489,0.08637538610146188,0.1409115360793943,0.07409379908464256
2011-01-25,0.216554431772988,0.03979900900644977,0.05189169218598218,0.017786565801421957,0.171425121087457,0.08120392436189396,0.08737509460188099,0.09486690359993238,0.1719244011287162,0.2855173514854499,0.2757542188488446,0.07959874684290542,0.08880116666031929,0.6107224325838774,0.6827947445241525,0.12215915904096045,0.1289378308160209,0.15106020614512844,0.13579929888619796
2011-01-26,0.06568771440028691,0.3314472664796108,0.12885381712520697,0.16008603664633614,0.33720769628268293,0.16058876606927053,0.39257327568850964,0.21759909555060694,0.280743633541314,0.049239717920206434,0.22783544171861003,0.21035318233679606,0.05510342112647196,0.3528244093356175,0.38989870371407587,0.27138895803553387,0.12189563450986529,0.21496943822604828,0.2571670450826803
2011-01-27,0.07697862974741096,0.8807207069239978,0.01882617356943158,0.05385454146176246,0.25535400611377723,0.06015394785343258,0.3822061823483469,0.17450209284863583,0.1780168830082487,0.2064388084499964,0.5225430860306769,0.07284902271075765,0.04999667616777189,0.2520677868695735,0.677439248298176,0.2575334000557148,0.046143278734794776,0.24412427289014144,0.08070803828810028
2011-01-28,0.09396511197609332,0.3835250135373507,0.019880896648522623,0.012426688097543586,0.20850170319023992,0.08954365486333249,0.08696317963601842,0.06290189610069341,0.15914354021235708,0.1392439689303052,0.4176169334234241,0.20090051982342802,0.18647844463222796,0.4442684403035951,0.522324654764749,0.2898542873356356,0.05070969522342524,0.21266879704329958,0.13399979352694633
2011-01-29,0.2692325562148439,0.7600001228394346,0.04594325419354858,0.029418165882154818,0.18230312984527575,0.056369546621768664,0.7192397625197295,0.11044951900220908,0.1695952953642125,0.1015017086309717,1.0012559459573511,0.12447584399126918,0.0697800113571078,0.41503921569305957,0.6103810174039969,0.27371318601614236,0.038021143132161525,0.12610554885223313,0.17155494199633742
2011-01-30,0.049294687702132016,0.1517344739215868,0.03978632480786132,0.026017276299997356,0.08938393229939082,0.057951736414656584,0.11389757797270991,0.11243374098321987,0.2558280956080681,0.23594741436377803,0.8857092341335879,0.13047644964865363,0.03258071341183637,0.35262877331792747,0.6295190821021189,0.1200432240587406,0.017729262121505777,0.1606248502101234,0.23571915237355223
2011-01-31,0.22568735416616384,0.20837163136259756,0.044182455109642325,0.02082095716145279,0.12066941794958594,0.07524729207247656,0.10798783740938914,0.05652636442309523,0.15576338934819714,0.1407014320917884,1.3979892748743985,0.10159323056110439,0.05538658387210317,0.27720803048830833,0.5950515556710881,0.18719281117371783,0.09413494728880555,0.251830479040694,0.16753420005248296
2011-02-01,0.25723258716303027,0.3730047575885253,0.009429439755170407,0.022629359679636044,0.13499816175829762,0.07871247995558775,0.08657025663791741,0.021525258157545524,0.08656199813481161,0.2382251676480236,1.1794973610660158,0.04757234813065464,0.19640578999199568,0.5172827782174703,0.6291375315076696,0.5298844994809628,0.04923644897340356,0.1924273603851294,0.15380566304813595
2011-02-02,0.09037359412057536,0.08103368373955938,0.024984568355118062,0.01724863166142169,0.1789776504758177,0.07274848406381397,0.11131502589090678,0.04821461980367097,0.1354231947926668,0.25953510434806515,0.4452050454419627,0.07378155406381891,0.05624020166047637,0.22497102741954722,0.6029874962881818,0.4776835629094323,0.04868916549673062,0.12456617925510667,0.12733927836144776
2011-02-03,0.23769762146128245,0.3078777843972312,0.010480658741190165,0.14923701836368053,0.17636085999337334,0.07954607375252755,0.1293187907608564,0.036494021358698996,0.14544608009636445,0.12300537101550114,0.9954815197832552,0.2414528820047952,0.09604198388987054,0.26967572291972836,0.6424603717909134,0.2474295454205376,0.04732182391703554,0.14980259210890876,0.0955730428886552
2011-02-04,0.29751769555401425,0.6300993627799885,0.023528919878072006,0.008588871997711713,0.17578358798496943,0.05655952123508634,0.09482168484779123,0.032790900876639835,0.06935475197491868,0.11501792685651727,1.5697139848223978,0.07012288388717995,0.32437729587305225,0.44115767532048866,0.578184125802326,0.41650866585501384,0.029341490041979376,0.11609961506767331,0.1251466947397111
2011-02-05,0.08483989675676197,1.147088892332813,0.01936229373328946,0.027499955394774806,0.1505236693180508,0.05188040672505492,0.07848360863573958,0.04775277792974085,0.11759991163277891,0.25630747176262664,1.819448589790431,0.13785170071649136,0.1881196146060592,0.5691676192126721,0.7700186120751304,0.8512830901758116,0.04942763985359857,0.14136494744882241,0.17089503406643508
2011-02-06,0.20246582175381955,0.7231482634671973,0.04118211616262251,0.038133541412880424,0.2707053808107582,0.05925025074290984,0.08707408678063572,0.05112464747071676,0.08054406205012979,0.29111143253912786,0.6266754960975248,0.10406837687306648,0.230440983929847,0.6345518866268302,0.6337722471640079,0.5050737671504544,0.08121389259496267,0.16221087930922018,0.20061210422555426
2011-02-07,0.5125846050409945,0.9709041793233785,0.01731942677312033,0.02365426052459307,0.28279772689049865,0.03593609187300559,0.09813830427985679,0.033525623097526026,0.12241686569274622,0.20884260090575102,1.5041532094363985,0.18648975558384195,0.28345369163185175,0.7016577634490118,0.5714111145170291,0.59095517439376,0.06650084504555426,0.163647611705243,0.2159210918460089
2011-02-08,0.38421492687224507,0.4918585221864909,0.04079315146668545,0.015362388820403453,0.16978229050997595,0.04310025726843578,0.09493575301086851,0.057527821491043116,0.10194907361254041,0.31775179282848054,1.3962697950462524,0.23213147952405289,0.44843149001337235,1.722840885700164,0.7840613301844276,0.5894830453667992,0.09691498813600666,0.20639932328876984,0.21441781979732674
2011-02-09,0.2006161251871562,0.29066564434616626,0.015005283178023989,0.014823066077257483,0.1367980148859143,0.036515918215805264,0.10580140166539911,0.029149213587639677,0.09580224934782923,0.2638934530588106,1.0454617378518434,0.10069932880121821,0.06071778248173293,0.2803383480576422,0.6926791849497698,0.23813109729731624,0.03366987906654471,0.15248482831064716,0.11132683855782236
2011-02-10,0.34476474659190526,0.1850996559192648,0.0230427305385775,0.04367967029878465,0.1364105522892749,0.018535270711682324,0.13033280540446507,0.06489524046084515,0.06335164771524536,0.23582133234366395,0.531357956537616,0.19104625511244225,0.09323980087934583,0.26889315250745593,0.5910098853762701,0.3937482087937179,0.018195488387496277,0.13448348739238508,0.16676298997972536
2011-02-11,0.30003787222212336,0.1565689661102359,0.05456763946673752,0.0026326787065683046,0.13113766860496853,0.014024487676957732,0.11613152595735604,0.049283539015877315,0.09807666504040581,0.19183503264235302,0.5238191720382787,0.2844340215162332,0.385577178397891,0.23490979977094462,0.44463121674256917,0.24361881271773914,0.07193506261428198,0.21848202171762304,0.24683302916991304
2011-02-12,0.4391204276996601,0.2115971682523201,0.030393087402256797,0.021756433892048392,0.20466883919845036,0.04715108367822593,0.10681222943354614,0.048111051625651505,0.11932608994369602,0.13813305457364017,0.5302377292541297,0.17117552228201321,0.2862912455252627,0.48464940404309886,0.5156396730155611,0.3123376225774058,0.10859038150825476,0.31324868638114384,0.19583774163136292
